Property,Model,SRCC_mean,SRCC_std,MAE_mean,MAE_std,MSE_mean,MSE_std,R2_mean,R2_std,n_folds
Di,CGCNN,0.6601082460696444,0.01596755849499656,1.4310991645345883,0.02951163621773793,5.569473606093896,0.2734345310207179,0.49941034560457365,0.02457655912646208,5
Di,Transformer,0.5751719109460719,0.023109609624621944,1.4463583364014028,0.02550663979617579,5.861041226142949,0.2180379537793158,0.4732039669634121,0.01959746138451016,5
Df,CGCNN,0.6039240424369257,0.011461358579291281,1.154496207167734,0.02407589664617444,3.351281049507347,0.11483359966745413,0.4149722078772055,0.020046318492100045,5
Df,Transformer,0.4958768287233604,0.03936617262994784,1.251838086909525,0.03969240713975281,3.9172390333482254,0.23836027624225006,0.3161738245636453,0.041610173566398546,5
Dif,CGCNN,0.660605628530771,0.017879904324013856,1.4272155082191045,0.028905008370040987,5.54577835846501,0.28831475249544014,0.47287112333259396,0.02740445466551753,5
Dif,Transformer,0.5796636746555184,0.01493966149252919,1.4392112387999154,0.045874468841384616,6.048791701682828,0.2093019586758925,0.4250594652712151,0.019894250947246405,5
CH4_HP,CGCNN,0.8630001665517109,0.007673447045182887,1.324699494188798,0.023948624447121696,3.285781829604459,0.07892247414360243,0.835104386266521,0.003960692001526018,5
CH4_HP,Transformer,0.6766310330739591,0.011354098350926696,2.0267425708138216,0.0341547200057473,9.835242067610315,0.26336083722826126,0.5064224099287917,0.01321665562115083,5
CO2_LP,CGCNN,0.7917571787372797,0.007711752534726433,0.6043856893320712,0.009063731194808787,0.7711053562489806,0.029653050382393197,0.6735941719346179,0.012552018198670587,5
CO2_LP,Transformer,0.629850894432626,0.011623044798913552,0.8134062177713407,0.013742680185906627,1.57541381215591,0.05936744515531568,0.33313360394250263,0.025130003233682762,5
logKH_CO2,CGCNN,0.8025937911253506,0.006563557435675139,0.4642279562467041,0.007426702812097212,0.42001034394962744,0.019101847006820622,0.6298563632060615,0.01683393569334087,5
logKH_CO2,Transformer,0.6575031899717032,0.01819061629426789,0.5748963649714306,0.018814229882655884,0.6899333153702576,0.04170993478467279,0.39198062577460274,0.03675782554890687,5
